"username","ip","user_agent","referrer","created_at"
"@harrison.wilson75","2600:100e:b09b:61d4:1d5b:aefe:52af:da67","Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Mobile/15E148 Safari/604.1","https://giveaway.terpscoops.com/the-fitter","2024-04-19T23:04:45.736Z"
"kamijrojas","2601:281:8181:3c00:d8c3:f61e:51e9:5e15","Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Mobile/15E148 Safari/604.1","https://giveaway.terpscoops.com/the-fitter","2024-04-18T22:20:57.115Z"
"kamijrojas","2601:281:8181:3c00:d8c3:f61e:51e9:5e15","Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Mobile/15E148 Safari/604.1","https://giveaway.terpscoops.com/the-fitter","2024-04-18T22:20:10.282Z"
"lolaroseelvina","2601:281:8181:3c00:8d14:8a29:79b4:55a9","Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Mobile/15E148 Safari/604.1","https://giveaway.terpscoops.com/the-fitter","2024-04-18T22:18:51.579Z"
"lolaroseelvinahart","2601:281:8181:3c00:8d14:8a29:79b4:55a9","Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Mobile/15E148 Safari/604.1","https://giveaway.terpscoops.com/the-fitter","2024-04-18T22:18:40.571Z"
"swagmasta48","107.123.1.81","Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Mobile/15E148 Safari/604.1","https://giveaway.terpscoops.com/the-fitter","2024-04-17T20:11:50.142Z"
"benmcvayyy","2607:fb90:6d01:c974:d951:c39d:eb71:fdf5","Mozilla/5.0 (iPhone; CPU iPhone OS 17_5 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.5 Mobile/15E148 Safari/604.1","https://giveaway.terpscoops.com/the-fitter","2024-04-17T20:11:29.930Z"
"Richards_2_4","2603:300b:50a:da00:b497:fe87:c205:3c83","Mozilla/5.0 (iPhone; CPU iPhone OS 16_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1","https://giveaway.terpscoops.com/the-fitter","2024-04-15T23:07:52.528Z"
"Spencer.aronica","2600:100e:b027:3dbb:55fd:66c6:82a9:ed9","Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Mobile/15E148 Safari/604.1","https://giveaway.terpscoops.com/the-fitter","2024-04-15T18:45:36.285Z"
"Zpapier","2600:100e:b011:44b2:7dbf:2b52:dd6d:de60","Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3.1 Mobile/15E148 Safari/604.1","https://giveaway.terpscoops.com/the-fitter","2024-04-14T17:03:39.250Z"
"test","67.176.37.125","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/124.0.0.0 Safari/537.36","https://giveaway.terpscoops.com/the-fitter","2024-04-13T06:12:06.553Z"
