"username","ip","user_agent","referrer","created_at"
"Matt_simo","71.218.105.105","Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Mobile/15E148 Safari/604.1","https://giveaway.terpscoops.com/maikoh-boulder","2024-04-20T02:39:13.750Z"
"88dominiqueee","2607:fb91:767:c6be:80a2:247a:da5c:c3dc","Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Mobile/15E148 Safari/604.1","https://giveaway.terpscoops.com/maikoh-boulder","2024-04-20T02:14:45.054Z"
"@Robertodelacaza","2607:fb91:1125:8875:d494:e5ff:fed3:d3e0","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Mobile Safari/537.36","https://giveaway.terpscoops.com/maikoh-boulder","2024-04-20T01:43:29.784Z"
"@dabooski","2607:fb91:1125:8875:d494:e5ff:fed3:d3e0","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Mobile Safari/537.36","https://giveaway.terpscoops.com/maikoh-boulder","2024-04-20T01:36:11.182Z"
"veedoubleyou","174.212.224.220","Mozilla/5.0 (iPhone; CPU iPhone OS 17_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.3.1 Mobile/15E148 Safari/604.1","https://giveaway.terpscoops.com/maikoh-boulder","2024-04-20T00:29:47.227Z"
"Terpzaderp","2600:387:16:217::7","Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Mobile/15E148 Safari/604.1","https://giveaway.terpscoops.com/maikoh-boulder","2024-04-20T00:08:49.587Z"
"oliviacastaldy","2607:fb90:6d8a:8170:a5dc:6772:5382:39df","Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Mobile/15E148 Safari/604.1","https://giveaway.terpscoops.com/maikoh-boulder","2024-04-19T23:32:03.204Z"
"_noahdixon_","2600:100e:b007:6841:ed31:1675:8e49:6e61","Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Mobile/15E148 Safari/604.1","https://giveaway.terpscoops.com/maikoh-boulder","2024-04-19T23:31:37.714Z"
"Matt_simo","2600:387:1:805::93","Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Mobile/15E148 Safari/604.1","https://giveaway.terpscoops.com/maikoh-boulder","2024-04-19T23:23:51.012Z"
"Tjm426","2600:387:f:5513::1","Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Mobile/15E148 Safari/604.1","https://giveaway.terpscoops.com/maikoh-boulder","2024-04-19T23:23:32.570Z"
"drakee7","2607:fb91:76c:466e:64b4:1162:4c0b:902b","Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Mobile/15E148 Safari/604.1","https://giveaway.terpscoops.com/maikoh-boulder","2024-04-19T22:51:44.639Z"
"@darby_mcmullen","2600:100e:b082:71b4:5cb5:8200:b23:a15d","Mozilla/5.0 (iPhone; CPU iPhone OS 15_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.6.1 Mobile/15E148 Safari/604.1","https://giveaway.terpscoops.com/maikoh-boulder","2024-04-19T22:35:39.439Z"
"Anthony_c_90s","2607:fb91:1109:49c1:daa:58f6:9e6c:9639","Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Mobile/15E148 Safari/604.1","https://giveaway.terpscoops.com/maikoh-boulder","2024-04-19T22:24:21.576Z"
"88dominiqueee","2607:fb91:767:c6be:80a2:247a:da5c:c3dc","Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Mobile/15E148 Safari/604.1","https://giveaway.terpscoops.com/maikoh-boulder","2024-04-19T22:19:17.035Z"
"Mkeegs_","2600:100e:b0cb:2c2a:504b:5dd9:26b1:4f6","Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Mobile/15E148 Safari/604.1","https://giveaway.terpscoops.com/maikoh-boulder","2024-04-19T22:19:15.703Z"
"Henry_fitz","2600:387:1:817::b2","Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.1 Mobile/15E148 Safari/604.1","https://giveaway.terpscoops.com/maikoh-boulder","2024-04-19T21:09:10.962Z"
"kl.brr","2600:387:f:5510::3","Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Mobile/15E148 Safari/604.1","https://giveaway.terpscoops.com/maikoh-boulder","2024-04-19T21:09:06.993Z"
"Yung.raisinlungz","2a09:bac3:6790:3d7::62:a9","Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Mobile/15E148 Safari/604.1","https://giveaway.terpscoops.com/maikoh-boulder","2024-04-19T20:50:04.242Z"
"jlmcmahan1989","2600:100e:b03b:1fc6:2d36:e623:7031:f825","Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Mobile/15E148 Safari/604.1","https://giveaway.terpscoops.com/maikoh-boulder","2024-04-19T19:14:08.533Z"
"joshgoldberg24","2600:100e:b20d:27b0:5d8f:e066:c87d:616a","Mozilla/5.0 (iPhone; CPU iPhone OS 17_4 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/123.0.6312.52 Mobile/15E148 Safari/604.1","https://giveaway.terpscoops.com/maikoh-boulder","2024-04-19T17:25:25.662Z"
"Sizzle_and_apinchofsalt","2601:281:8500:7360:5c58:bb1e:40ec:86ba","Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Mobile/15E148 Safari/604.1","https://giveaway.terpscoops.com/maikoh-boulder","2024-04-19T07:21:29.356Z"
"Ethantrehus","2600:100e:b073:2e5b:e9a6:a38c:de6e:e201","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/123.0.0.0 Mobile Safari/537.36","https://giveaway.terpscoops.com/maikoh-boulder","2024-04-19T00:57:47.217Z"
"Alex_rodriguez.25","2600:387:f:5536::4","Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.4.1 Mobile/15E148 Safari/604.1","https://giveaway.terpscoops.com/maikoh-boulder","2024-04-18T19:59:16.399Z"
